Number of Weibos	China-based Domains PMI	US-based Domains PMI	Russian-based Domains PMI	Ukrainian-based Domains PMI	Weibo Cluster Summary
8129	-0.1601028230860156	-0.1246481021702754	0.0306373972478596	0.0154713861611057	US manipulates Ukraine into war with Russia for its own interests and benefits.
2576	-0.1642237284601991	-0.170003829424665	0.0112878074986173	0.0562527334182327	US manipulates Ukraine into war with Russia for its own interests and benefits.
1779	-0.0221722122949003	-0.0738572099126166	0.0556124560924202	-0.0809384791382714	US manipulates Ukraine into war with Russia for its own interests and benefits.
1681	-0.0675960431563225	-0.1715314909544435	0.0409912533436729	0.0125941332403061	US manipulates Ukraine into war with Russia for its own interests and benefits.
1366	-0.1633980164701239	-0.0793472482196663	0.0115073298051641	0.0169055231754471	US manipulates Ukraine into war with Russia for its own interests and benefits.
1031	-0.1521462394062432	-0.0927239458955254	0.0118470198201814	0.0222359399805225	US manipulates Ukraine into war with Russia for its own interests and benefits.
975	-0.0267044456599646	-0.1010253651465256	0.0315485869858704	-0.0153334226235235	US manipulates Ukraine into war with Russia for its own interests and benefits.
884	-0.1489625504177411	-0.1423845537459002	0.0324333761967311	0.0247944435919996	US manipulates Ukraine into war with Russia for its own interests and benefits.
862	-0.2152742530275739	-0.1364215841097383	0.0560632989283083	-0.0055051218868411	US manipulates Ukraine into war with Russia for its own interests and benefits.
833	-0.0798851084505443	-0.0902491005128878	0.0378473615748484	-0.011565472527718	US manipulates Ukraine into war with Russia for its own interests and benefits.
813	-0.1133697080507821	-0.0806615337778529	0.0064404650507424	0.0172604139698277	US manipulates Ukraine into war with Russia for its own interests and benefits.
788	-0.16172223577855	-0.0699790702848338	0.0170668690337104	0.0138399330498992	US manipulates Ukraine into war with Russia for its own interests and benefits.
771	-0.1866332345712205	-0.1092975445673555	0.0259987582865951	0.0216505671989431	US manipulates Ukraine into war with Russia for its own interests and benefits.
714	-0.1586591919537845	-0.0945503289310488	0.0351433225362588	0.0017651071639095	US manipulates Ukraine into war with Russia for its own interests and benefits.
653	-0.0077297919956314	-0.0274994443378737	-0.0068200529246635	-0.034372397307244	US manipulates Ukraine into war with Russia for its own interests and benefits.
638	0.0941065688123285	-0.1019764224086269	0.0167283025912229	-0.0527220512347608	US manipulates Ukraine into war with Russia for its own interests and benefits.
605	-0.0975144404137021	-0.0961701763113783	0.0012347840853135	0.0326835931337584	US manipulates Ukraine into war with Russia for its own interests and benefits.
