Number of Weibos	China-based Domains PMI	US-based Domains PMI	Russian-based Domains PMI	Ukrainian-based Domains PMI	Weibo Cluster Summary
8129	-0.1601028230860156	-0.1246481021702754	0.0306373972478596	0.0154713861611057	US manipulates Ukraine into war with Russia for its own interests and benefits.
2576	-0.1642237284601991	-0.170003829424665	0.0112878074986173	0.0562527334182327	Russian-Ukrainian conflict becomes a protracted war with uncertain long-term outcome.
1779	-0.0221722122949003	-0.0738572099126166	0.0556124560924202	-0.0809384791382714	US denies allegations of biological warfare in Ukraine, despite evidence contradicting claims.
1681	-0.0675960431563225	-0.1715314909544435	0.0409912533436729	0.0125941332403061	Ukraine and Russia negotiations are unlikely to yield results due to fundamental disagreements.
1366	-0.1633980164701239	-0.0793472482196663	0.0115073298051641	0.0169055231754471	China maintains a neutral stance on the Ukraine-Russia conflict, with some citizens supporting Russia and others Ukraine.
1031	-0.1521462394062432	-0.0927239458955254	0.0118470198201814	0.0222359399805225	Russian President Putin escalates military action in Ukraine, testing Western resolve.
975	-0.0267044456599646	-0.1010253651465256	0.0315485869858704	-0.0153334226235235	The US is manipulating Ukraine to create chaos in Europe and distract from its rivalry with China.
884	-0.1489625504177411	-0.1423845537459002	0.0324333761967311	0.0247944435919996	Ukraine's pursuit of NATO membership sparks conflict with Russia, prompting concerns about regional stability.
862	-0.2152742530275739	-0.1364215841097383	0.0560632989283083	-0.0055051218868411	Weibo may display users' real-time locations in comments about Ukraine or Russia.
833	-0.0798851084505443	-0.0902491005128878	0.0378473615748484	-0.011565472527718	Human traffickers target Ukrainian female refugees in Germany, sparking outrage.
813	-0.1133697080507821	-0.0806615337778529	0.0064404650507424	0.0172604139698277	Ukraine's fate is largely self-inflicted due to its blind trust in Western powers.
788	-0.16172223577855	-0.0699790702848338	0.0170668690337104	0.0138399330498992	US media suggests China may face sanctions if Russia invades Ukraine.
771	-0.1866332345712205	-0.1092975445673555	0.0259987582865951	0.0216505671989431	Russia's actions in Ukraine are seen as a response to NATO's expansion into its backyard.
714	-0.1586591919537845	-0.0945503289310488	0.0351433225362588	0.0017651071639095	Multiple reports of Ukraine's underground storage of surrogate newborns emerge.
653	-0.0077297919956314	-0.0274994443378737	-0.0068200529246635	-0.034372397307244	China's online backlash against Ukraine criticism sparks national debate over patriotism.
638	0.0941065688123285	-0.1019764224086269	0.0167283025912229	-0.0527220512347608	China supports Russia amid tensions with the US, viewing similar suppression.
605	-0.0975144404137021	-0.0961701763113783	0.0012347840853135	0.0326835931337584	China supplies food to Ukraine while the US provides lethal weapons.
604	-0.0904248967093498	-0.2889142213092131	0.0028651879438694	0.0529834150186966	Ukrainian officials suggest writing off Ukraine's outstanding foreign debt.
588	-0.0148664127639896	-0.0167416063119186	0.0172395522896197	-0.0421395182818989	South Korea announces military aid to Ukraine amid ongoing conflict.
585	0.1038957848678854	-0.1581751260928219	0.0196049658650372	-0.0327454430481411	China urges restraint and diplomacy to resolve Ukraine crisis peacefully.
582	-0.0215372359473001	-0.0955796771266305	0.0378590920105529	-0.0309027257227793	Russia's actions in Ukraine driven by fear of NATO expansion and encroachment.
579	-0.2565033984968185	-0.0673098659033288	0.005605672811534	0.0256436931223816	US President Biden confirms Putin has decided to attack Ukraine.
573	-0.1149607102169629	-0.1538842734798889	-0.0412772583528569	0.081344398539234	Ukrainian forces, despite inferior equipment, resist Russian invasion effectively.
562	-0.0099216605305563	-0.0942856084066705	0.0082342851922493	0.0012714851924319	Tensions between Russia and Ukraine escalate as both sides trade accusations and threats.
534	-0.2369892811775099	-0.0210460168872619	0.0359940184355581	-0.0486172807565754	US accused of secretly conducting biological experiments in Ukraine.
526	-0.0030273635043668	-0.0385574342490357	0.0041180467601344	-0.0288718219014588	China suspects US is using Ukraine as a pawn to contain Russia and pressure China.
517	-0.2442161236302865	-0.1511473509948259	-0.0451562991396767	0.0749780430868765	Russia claims to have destroyed 74 Ukrainian military targets on the ground.
510	0.1273611966057421	-0.1566367047176385	0.0094776871384513	-0.0354212264109584	Western powers' true motives for escalating Ukraine-Russia tensions remain unclear.
503	-0.0562992112803594	-0.0964705062422593	0.0539045705668036	-0.0469729016323458	US acknowledges Ukraine's existence of secret biological research facilities.
502	-0.2136935499468254	-0.0701018460658952	0.0636532157923408	-0.0565678014593265	Ukraine hosts 15 US biological labs, sparking concerns and outrage.
499	0.0205014985148953	-0.1090354553146058	-0.0125763275759249	0.0205885885469207	Concerns rise over potential third world war between Russia, Ukraine, and US.
470	0.1024180564308904	-0.1158270853475136	-0.0314010657635809	0.0035549572659884	China's netizens express concerns over Ukraine's war, calling for neutrality.
463	-0.2654571141770683	-0.1030103993846523	0.0102732250105784	0.0333632182539321	Ukrainian President believes Western nations have abandoned Ukraine.
462	-0.0943417833719819	-0.1560930992975402	0.0330909090308414	0.0210580693975678	Russia-Ukraine conflict escalates as Ukraine resists neutrality and independence.
456	-0.093958480013802	-0.0548699900720334	0.0497663631718156	-0.0551842807162542	Critics accuse the US of having a sinister motive in Ukraine.
432	-0.38189344587417	-0.2830999361581628	-0.0389190011330107	0.0906790527800885	Reports suggest Chechen forces will join Ukraine in combat operations.
413	-0.1834895985421527	-0.0978227332260292	0.0126868863321108	0.0295572554473992	US President Biden warns of an imminent Russian invasion of Ukraine.
404	-0.2247957813547489	-0.1408066067763726	0.0469388225393047	0.0021330600089683	Most of Ukraine's top 100 wealthy individuals have fled the country.
403	-0.0992468223011089	-0.0741353525213483	0.0032608841481672	0.0244620690500047	Ukraine rejects Sweden and Austria's neutrality model in ongoing conflict.
371	-0.0574589749641409	-0.093342287284652	-0.0064466594337933	0.0283776012700954	Russia's nuclear deterrence enters special combat readiness, escalating Ukraine tensions.
357	-0.1669109059302754	-0.0115721314402321	-0.0093397968054081	0.0049353020611867	Korean social media influencer's attempt to enter Poland from Ukraine denied.
357	-0.0744918007837188	-0.0940519202450993	0.0310248362550696	-0.0037869484326003	Russian-Ukraine conflict causes fire at Europe's largest nuclear power plant.
356	-0.0577354448250665	-0.1778105514595253	-0.0016507179402231	0.0512738405989379	Ukraine's EU membership bid faces challenges amidst ongoing conflict with Russia.
354	-0.0166188610820391	-0.0469536806414621	0.0129337380611339	-0.0096513987454672	North Korea blames US for Ukraine conflict, citing American power.
353	-0.1700727782231997	-0.0871972886954352	0.0115102979066427	0.0253855684730518	The US fuels Russia-Ukraine tensions with unsubstantiated invasion claims.
350	-0.1932809803163729	-0.1163049726687697	0.0143800358499519	0.0349255217259636	Russian forces advance into Ukraine, capturing key locations and equipment.
349	-0.0017203627962221	-0.195151916322828	0.0314088118829328	0.0095438333217489	Russia escalates attacks on Ukraine, causing concern for China's interests.
346	-0.0785512181492884	-0.1802088572849377	0.0598962799996741	-0.0101994119130478	Russian and Ukrainian foreign ministers meet in Turkey for historic talks.
343	-0.3172701471768215	-0.1306265221707373	-0.0356754062892229	0.0701132920146761	Russian President Putin claims Ukraine was founded from Russian territory.
342	-0.1078011366816331	-0.0750514139652931	0.0268443717197142	-0.0029108300966262	Russian President Putin warns countries setting no-fly zones over Ukraine.
342	-0.1148980277353278	-0.1283712804616212	0.0831714629371361	-0.0670682518792727	Poland's plan to donate Soviet-era jets to Ukraine is rejected by the US.
339	-0.1215390409778379	-0.1323706822371198	0.0066438358752552	0.0396937153457981	Ukraine's Chernobyl nuclear power plant has been completely disconnected from power.
322	-0.2040016136272205	-0.0591723906804453	-0.0393527832958925	0.0492907350942956	Russian forces in Ukraine have largely fallen silent.
320	-0.0096281140784013	-0.1892470149388327	0.048576798933585	-0.0075695724891695	Ukraine and Russia prepare for new peace talks amid ongoing conflict.
301	-0.0906711317844188	-0.0251695891054597	0.0140358810738239	-0.0136617980315737	US accepts only 7 Ukrainian refugees, sparking criticism and debate.
299	-0.0944060719737927	-0.0404657878926443	0.011959228576951	-0.0183304016309016	Ukrainian President Zelensky's acting background may have contributed to his leadership struggles.
291	-0.1041892915199389	-0.0110648659269848	-0.04461512497816	0.0244717505276823	Ukraine seeks assistance from South Korea in a seemingly humorous manner.
282	0.0308099184963871	0.0001246920670047	0.0107979731687415	-0.1092066805363203	US President Biden mistakenly refers to Ukraine as China multiple times.
275	-0.1269803618941486	-0.1068328615173361	-0.0309437250910952	0.0603919357350392	Russia and Ukraine's war is devastating civilians, with both sides showing disregard.
271	-0.0840542439887164	-0.1286496540758318	0.0217055031243187	0.0226962352354473	Ukrainian President Zelensky states Ukraine will not join NATO, a reality.
269	-0.2196064133961674	-0.2100379479827185	-0.0508281124699325	0.0776592582435371	Ukraine opens four-currency donation platform for military aid, sparking controversy.
264	-0.1863292209428504	-0.1233128316711261	0.0024157710216572	0.0481673314591807	Russian invasion of Ukraine escalates with intense fighting in multiple cities.
264	-0.1868115752533322	-0.0867608290084358	0.0172726251363131	0.0195865549494585	"""Ukrainian President Zelensky's leadership questioned amidst Russia-Ukraine conflict and Western support."""
257	-0.0688591915937166	-0.164007351221363	0.0568486652539321	-0.0318829230439685	Multiple test posts about Russia and Ukraine conflict.
251	-0.0572330192892362	-0.1220989427428329	-0.0265078017871908	0.0463816501894739	Ukrainians demand immediate EU membership, sparking mixed reactions from Russians.
250	0.1161658268249459	-0.0826473185112847	-0.0167416063119186	-0.0826473185112847	China safely evacuates its first batch of citizens from Ukraine.
246	-0.0051061523754511	-0.0596050374698676	0.0343598353902817	-0.0429537155251338	Ukraine dam explosion claims spread, Chinese satellite confirms authenticity.
244	-0.1359033418823986	-0.1979817381039955	0.0450661289199611	0.0022073787037029	Ukrainian and Russian athletes show support for global peace.
244	-0.0095674539297804	-0.1680866485291142	0.043707550425046	-0.0082933718372583	Russian and Ukrainian negotiators report significant progress in peace talks.
239	-0.0892432051184356	-0.0558992074605449	0.0219288309246623	-0.0134618200049325	US President Biden reaffirms no US military involvement in Ukraine conflict.
233	0.0898113217046092	-0.0859224582125609	0.0024236757728935	-0.0386794239544999	Russia and Ukraine conflict poses global food supply crisis risks.
229	-0.054080120012663	-0.175732519120573	0.0529550226145131	-0.0087211935584359	Russia and Ukraine hold peace talks in Belarus with uncertain outcome.
228	-0.1579920442538856	-0.1370990395730487	-0.0217309646395649	0.0584136759477287	Ukraine requests $500 billion in financial aid from G7 countries.
227	0.0540894758380728	-0.063359505488527	0.0326704406714359	-0.0816214398212408	Russia accuses US of conducting secret biological experiments in Ukraine.
223	-0.1577790294947676	-0.1334902507976857	0.0278309908868899	0.0249174791429349	Ukraine releases convicted prisoners with military experience to fight.
222	-0.1170901714327717	-0.1785095106600125	0.017615549617817	0.042633414403242	Ukraine struggles against Russia's military advances and potential negotiations.
215	-0.0750695276776573	-0.0625114411872815	0.0225979743738372	-0.0077918704934755	China urges its citizens in Ukraine to be cautious and avoid drawing attention to themselves.
212	-0.0979105981592343	-0.0817946691543108	0.0407792671674042	-0.0182741227449954	China's internet suffered foreign attacks, mainly from the US, targeting Russia and Ukraine.
209	-0.2804920207490501	-0.0738903166521706	-0.045080362412912	0.0577984395303578	Ukraine releases statement on Weibo, sparking international debate.
207	-0.2345582760954414	-0.1963767747626844	0.0338223314694405	0.0378142170953819	Ukrainian President Zelensky confirms presence in Kyiv amid Russian conflict.
204	-0.2199438106984014	-0.174337297167429	0.0684325602487179	-0.0263065326139491	Ukrainian President Zelensky criticizes international inaction over Ukraine's issues.
201	-0.155795300791557	-0.1927624146913374	0.0370954223706918	0.0185912005620805	Russian maps display location in Ukraine and Russia when searched.
200	-0.2593823050590517	-0.1869347750795807	0.0787561392665251	-0.0284897783802295	Russian President Putin denies plans to occupy Ukraine, claims self-defense.
199	-0.1596347013837779	-0.1628974824529031	0.0660173813332213	-0.0177421819185605	Russia and Ukraine agree to second round of negotiations on March 2.
196	-0.1684886675787457	-0.1354687568926363	-0.0240917855281689	0.0593891332535045	Ukraine begins mobilizing 18-60 year olds for potential war efforts.
191	-0.0025152848765814	-0.1924765015067449	0.0191764661108786	0.0222902689092527	Ukrainian officials warn of NATO's collective defense amid Russian aggression.
189	-0.2255189518143303	-0.1124526876191013	0.0018870408309029	0.0466732893002293	Russian-backed Chechen forces may escalate Ukraine conflict severely.
186	-0.2660964100902772	-0.2338815910831619	0.0429078708027706	0.035404243103733	Ukrainian President Zelensky signs law seizing Russian assets in Ukraine.
183	-0.182645678095301	-0.1274265433060072	0.0129726918237513	0.0384810775115402	Ukraine's military is using various tactics against Russian forces in ongoing conflict.
180	-0.1954562036582363	-0.1516679261940512	-0.0025440236775516	0.0528444673149254	Russia-Ukraine conflict escalates with ongoing military and diplomatic tensions.
180	-0.0955097790651492	-0.0817179980958769	0.017054772823984	0.0096285536250722	Ukraine's use of social media in the war creates a complex information landscape.
178	-0.1829359331160217	-0.1758627713600128	0.0039168044643449	0.0460889384054649	Russian media reports Ukraine opening fire in eastern Ukraine.
178	-0.1789920660066399	-0.0765451364762093	-0.0047807293398844	0.0351504617397646	Ukrainians will not surrender, as they are a fighting nation, determined to defend their country.
178	-0.1337054239230409	-0.1432704430383443	0.0420959013197571	0.0093726981958983	Russian President Putin recognizes Ukrainian breakaway regions as independent states, escalating tensions.
173	-0.1037299698867365	-0.0616837847596618	0.0619353803288786	-0.075501116383856	US denies allegations of biological warfare in Ukraine after Russian claims.
171	-0.0920096309562633	-0.128566903340834	-0.0286038631273335	0.0612645216159109	Ukrainian forces target and destroy Russian military equipment in ongoing conflict.
170	-0.208925396327047	-0.1428215072535889	-0.0392099229785113	0.0665027505058072	Ukrainian President Zelensky admits Ukraine cannot join NATO currently.
170	-0.1669109059302754	-0.1397601421279873	-0.0186191819622494	0.0531988015065374	Germany provides 2700 Soviet-era missiles to Ukraine, sparking criticism.
170	-0.1037773073993189	-0.1555965628819834	0.0296065657937504	0.0239217346423904	Ukraine's EU membership bid advances as EU starts review process.
170	-0.1672366518904524	-0.0942775529611062	0.0201722809024917	0.0194640589257097	Netizens speculate about the destruction of the AN225, Ukraine's largest transport plane.
